film,Oscar_Winner,num_nominations,Title,IMDb Rating,Runtime (mins),Year,Num Votes,IMDb Popularity,Num Directors,Comedy,Romance,Drama,War,Adventure,award_Acting,award_Animation,award_Cinematography,award_Costume Design,award_Directing,award_Documentary,award_Editing,award_International Feature,award_Makeup and Hairstyling,award_Music,award_Other,award_Picture,award_Production Design,award_Short Film,award_Sound,award_Visual Effects,award_Writing
Elmer Gantry,1,5,Elmer Gantry,7.7,146.0,1960,13655,105143.5,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Elvis,0,8,Elvis,7.3,159.0,2022,249827,1823737.0999999999,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0
Embrace of the Serpent,0,1,Embrace of the Serpent,7.8,125.0,2015,25154,196201.19999999998,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Emma,1,10,Emma,7.0,72.0,1932,1212,8484.0,1,0,0,1,0,0,2,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0
Empire of Light,0,1,Empire of Light,6.7,115.0,2022,26005,174233.5,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empire of the Sun,0,6,Empire of the Sun,7.7,153.0,1987,138149,1063747.3,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
Employees Only,0,1,Employees Only,4.6,14.0,1958,9,41.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Encanto,1,3,Encanto,7.2,102.0,2021,280267,2017922.4000000001,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Enchanted,0,1,Enchanted,7.1,107.0,2007,223378,1585983.7999999998,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Enchanted April,0,3,Enchanted April,7.3,95.0,1991,7453,54406.9,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Encounters at the End of the World,0,1,Encounters at the End of the World,7.7,99.0,2007,19645,151266.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
End Game,0,1,End Game,7.2,40.0,2018,2172,15638.4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Endless Love,0,1,Endless Love,4.9,116.0,1981,10143,49700.700000000004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Enemies, A Love Story",0,3,"Enemies, A Love Story",6.6,119.0,1989,2697,17800.2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Enron: The Smartest Guys in the Room,0,1,Enron: The Smartest Guys in the Room,7.6,110.0,2005,20642,156879.19999999998,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Entre Nous,0,1,Entre Nous,7.0,110.0,1983,2387,16709.0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Equus,0,3,Equus,7.1,137.0,1977,8991,63836.1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eraser,0,1,Eraser,6.2,115.0,1996,121037,750429.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Erin Brockovich,1,5,Erin Brockovich,7.5,131.0,2000,233047,1747852.5,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Ernest & Celestine,0,1,Ernest & Celestine,7.8,80.0,2012,23201,180967.8,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernst & Lyset,0,1,Ernst & Lyset,7.3,12.0,1996,681,4971.3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Escape Me Never,0,1,Escape Me Never,5.3,95.0,1935,182,964.6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eskimo,1,1,Eskimo,7.0,117.0,1933,643,4501.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,1,2,Eternal Sunshine of the Spotless Mind,8.3,108.0,2004,1132195,9397218.5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eternally Yours,0,1,Eternally Yours,5.7,95.0,1939,924,5266.8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Europa Europa,0,1,Europa Europa,7.5,112.0,1990,17955,134662.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eurovision Song Contest: The Story of Fire Saga,0,1,Eurovision Song Contest: The Story of Fire Saga,6.5,123.0,2020,105926,688519.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Every Child,1,1,Every Child,6.5,6.0,1979,1049,6818.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Every Day's a Holiday,0,1,Every Day's a Holiday,6.1,79.0,1937,517,3153.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Everything Everywhere All at Once,1,11,Everything Everywhere All at Once,7.8,139.0,2022,577142,4501707.6,2,1,0,1,0,1,4,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,1
Everything in This Country Must,0,1,Everything in This Country Must,7.1,20.0,2004,123,873.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Evil,0,1,Evil,7.7,113.0,2003,43423,334357.10000000003,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Evita,1,5,Evita,6.3,135.0,1996,38435,242140.5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Evolution,0,1,Evolution,6.2,11.0,1971,270,1674.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ex Machina,1,2,Ex Machina,7.7,108.0,2014,615422,4738749.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Excalibur,0,1,Excalibur,7.3,140.0,1981,69954,510664.2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Executive Suite,0,4,Executive Suite,7.4,104.0,1954,4826,35712.4,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Exit,0,1,Exit,6.5,16.0,1985,36,234.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Exit through the Gift Shop,0,1,Exit Through the Gift Shop,7.9,87.0,2010,69873,551996.7000000001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exodus,1,3,Exodus,6.7,208.0,1960,12077,80915.90000000001,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Experiment Perilous,0,1,Experiment Perilous,6.3,91.0,1944,2234,14074.199999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Exploratorium,0,1,Exploratorium,6.4,15.0,1974,42,268.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Extremely Loud & Incredibly Close,0,2,Extremely Loud & Incredibly Close,6.9,129.0,2011,106485,734746.5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Extremis,0,1,Extremis,7.2,24.0,2016,2794,20116.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eyes of the Navy,0,1,Eyes of the Navy,5.8,20.0,1940,261,1513.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eyewitness,0,1,Eyewitness,7.2,38.0,2000,31,223.20000000000002,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Face to Face,0,2,Face to Face,7.5,114.0,1976,6383,47872.5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Face/Off,0,1,Face/Off,7.3,138.0,1997,413465,3018294.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Faces,0,3,Faces,7.4,130.0,1968,12277,90849.8,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Faces Places,0,1,Faces Places,7.8,94.0,2017,14003,109223.4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Facing Fear,0,1,Facing Fear,6.9,23.0,2013,215,1483.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Facing Your Danger,1,1,Facing Your Danger,6.3,10.0,1946,260,1638.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fait D'Hiver,0,1,Fait d'hiver,7.4,7.0,2001,851,6297.400000000001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fall Line,0,1,Fall Line,6.3,12.0,1981,34,214.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fame,1,6,Fame,6.6,134.0,1980,25491,168240.59999999998,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0
Family Gathering,0,1,Family Gathering,6.3,30.0,1988,19,119.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Famous Fred,0,1,Famous Fred,6.1,30.0,1996,248,1512.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanny,0,5,Fanny,6.8,134.0,1961,2818,19162.399999999998,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Fantastic Beasts and Where to Find Them,1,2,Fantastic Beasts and Where to Find Them,7.2,132.0,2016,523761,3771079.2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Fantastic Mr. Fox,0,2,Fantastic Mr. Fox,7.9,87.0,2009,284627,2248553.3000000003,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fantastic Voyage,1,5,Fantastic Voyage,6.8,100.0,1966,21659,147281.19999999998,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
Far from Heaven,0,4,Far from Heaven,7.3,107.0,2002,50375,367737.5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Far from the Madding Crowd,0,1,Far from the Madding Crowd,7.2,168.0,1967,6474,46612.8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Farewell My Concubine,0,2,Farewell My Concubine,8.1,171.0,1993,34970,283257.0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Farewell, My Lovely",0,1,"Farewell, My Lovely",7.0,95.0,1975,10234,71638.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,1,7,Fargo,8.1,98.0,1996,753308,6101794.8,2,0,0,1,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Fat City,0,1,Fat City,7.2,96.0,1972,10912,78566.40000000001,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatal Attraction,0,6,Fatal Attraction,6.9,119.0,1987,105456,727646.4,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
Fate Is the Hunter,0,1,Fate Is the Hunter,6.8,106.0,1964,2000,13600.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Father Goose,1,3,Father Goose,7.3,118.0,1964,12939,94454.7,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Father and Daughter,1,1,Father and Daughter,7.8,8.0,2000,7204,56191.2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Father of the Bride,0,3,Father of the Bride,7.1,92.0,1950,13016,92413.59999999999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Fauve,0,1,Fauve,7.6,17.0,2018,3723,28294.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fearless,0,1,Fearless,7.0,122.0,1993,25277,176939.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feast,1,1,Feast,8.2,6.0,2014,24487,200793.4,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feeling Through,0,1,Feeling Through,7.5,18.0,2019,2153,16147.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fences,1,4,Fences,7.2,139.0,2016,121517,874922.4,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Feral,0,1,Feral,6.4,13.0,2012,995,6368.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferdinand,0,1,Ferdinand,6.7,108.0,2017,67628,453107.60000000003,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferdinand the Bull,1,1,Ferdinand the Bull,7.1,8.0,1938,3890,27619.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferry Tales,0,1,Ferry Tales,7.5,40.0,2003,79,592.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Festival,0,1,Festival,7.5,95.0,1967,804,6030.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fiddler on the Roof,1,8,Fiddler on the Roof,8.0,181.0,1971,49790,398320.0,1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
Field of Dreams,0,3,Field of Dreams,7.5,107.0,1989,133487,1001152.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Fiesta,0,1,Fiesta,5.9,104.0,1947,689,4065.1000000000004,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fifty Percent Grey,0,1,Fifty Percent Grey,6.6,3.0,2001,1302,8593.199999999999,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifty Shades of Grey,0,1,Fifty Shades of Grey,4.2,125.0,2015,345586,1451461.2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fight Club,0,1,Fight Club,8.8,139.0,1999,2451203,21570586.400000002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fight of the Wild Stallions,0,1,Fight of the Wild Stallions,4.8,20.0,1947,50,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fighting for Our Lives,0,1,Fighting for Our Lives,6.3,59.0,1975,40,252.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Finding Nemo,1,4,Finding Nemo,8.2,100.0,2003,1155613,9476026.6,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Finding Neverland,1,7,Finding Neverland,7.6,106.0,2004,214586,1630853.5999999999,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1
Finding Vivian Maier,0,1,Finding Vivian Maier,7.7,83.0,2013,15435,118849.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fine Food, Fine Pastries, Open 6 to 9",0,1,"Fine Food, Fine Pastries, Open 6 to 9",7.0,29.0,1989,33,231.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Finian's Rainbow,0,2,Finian's Rainbow,6.1,141.0,1968,4397,26821.699999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Fire at Sea,0,1,Fire at Sea,6.7,114.0,2016,6126,41044.200000000004,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fire of Love,0,1,Fire of Love,7.6,98.0,2022,15699,119312.4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fires of Kuwait,0,1,Fires of Kuwait,7.4,36.0,1992,600,4440.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
First Contact,0,1,First Contact,7.7,58.0,1982,294,2263.8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
First Edition,0,1,First Edition,5.9,30.0,1977,30,177.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
First Love,0,8,First Love,7.0,84.0,1939,815,5705.0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0
First Man,1,4,First Man,7.3,141.0,2018,209572,1529875.5999999999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
First Reformed,0,1,First Reformed,7.1,113.0,2017,64753,459746.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
First Steps,1,1,First Steps,6.1,10.0,1947,91,555.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
First Winter,0,1,First Winter,6.6,27.0,1981,165,1089.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fish Fry,0,1,Fish Fry,5.9,7.0,1944,195,1150.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five Easy Pieces,0,4,Five Easy Pieces,7.4,98.0,1970,42444,314085.60000000003,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Five Graves to Cairo,0,3,Five Graves to Cairo,7.3,96.0,1943,7280,53144.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Five Star Final,0,1,Five Star Final,7.3,89.0,1931,2677,19542.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Five Times Five,0,1,Five Times Five,7.5,20.0,1939,15,112.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Flags of Our Fathers,0,2,Flags of Our Fathers,7.1,135.0,2006,131756,935467.6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Flame of Barbary Coast,0,2,Flame of Barbary Coast,6.2,91.0,1945,1718,10651.6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Flamenco at 5:15,1,1,Flamenco at 5:15,6.9,29.0,1983,227,1566.3000000000002,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flashdance,1,4,Flashdance,6.2,95.0,1983,61765,382943.0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Flat Top,0,1,Flat Top,5.9,83.0,1952,596,3516.4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Flatliners,0,1,Flatliners,6.6,115.0,1990,96012,633679.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Flee,0,3,Flee,7.9,89.0,2021,20465,161673.5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Flight,0,2,Flight,7.3,138.0,2012,386046,2818135.8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Flight Command,0,1,Flight Command,6.3,116.0,1940,922,5808.599999999999,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Flight for Freedom,0,1,Flight for Freedom,6.0,102.0,1943,319,1914.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flirtation Walk,0,2,Flirtation Walk,5.6,97.0,1934,958,5364.799999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Floating Free,0,1,Floating Free,6.1,11.0,1978,41,250.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Florence Foster Jenkins,0,2,Florence Foster Jenkins,6.8,111.0,2016,60969,414589.2,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flow,1,1,Flow,7.9,85.0,2024,69502,549065.8,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flower Drum Song,0,5,Flower Drum Song,6.9,133.0,1961,3887,26820.300000000003,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
Flowers and Trees,1,1,Flowers and Trees,7.2,8.0,1932,4084,29404.8,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly Away Home,0,1,Fly Away Home,6.9,107.0,1996,27874,192330.6,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flying Down to Rio,0,1,Flying Down to Rio,6.6,89.0,1933,4175,27555.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Flying Tigers,0,3,Flying Tigers,6.7,102.0,1942,4387,29392.9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Flying with Music,0,2,Flying with Music,4.1,46.0,1942,133,545.3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Follow the Boys,0,1,Follow the Boys,5.8,122.0,1944,520,3016.0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Food, Inc.",0,1,"Food, Inc.",7.8,94.0,2008,52782,411699.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Foothold on Antarctica,0,1,Foothold on Antarctica,6.1,20.0,1957,33,201.29999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Footloose,0,2,Footloose,6.6,107.0,1984,97679,644681.4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Footnote,0,1,Footnote,7.1,107.0,2011,6447,45773.7,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
For All Mankind,0,1,For All Mankind,8.1,80.0,1989,6853,55509.299999999996,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For Better or for Worse,0,1,For Better or for Worse,7.1,57.0,1993,42,298.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For Love of Ivy,0,1,For Love of Ivy,6.2,101.0,1968,933,5784.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
For Me and My Gal,0,1,For Me and My Gal,7.0,104.0,1942,4013,28091.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
For Sama,0,1,For Sama,8.5,100.0,2019,13354,113509.0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For Scent-Imental Reasons,1,1,For Scent-imental Reasons,7.1,7.0,1949,2034,14441.4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Whom the Bell Tolls,1,9,For Whom the Bell Tolls,6.8,170.0,1943,10670,72556.0,1,0,1,1,1,1,4,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
For Your Eyes Only,0,1,For Your Eyes Only,6.7,127.0,1981,111672,748202.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
For the Birds,1,1,For the Birds,8.0,3.0,2000,34924,279392.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For the Boys,0,1,For the Boys,6.4,138.0,1991,6254,40025.600000000006,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forbidden Games,0,1,Forbidden Games,8.0,86.0,1952,13679,109432.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Forbidden Passage,0,1,Forbidden Passage,6.4,21.0,1941,322,2060.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Forbidden Planet,0,1,Forbidden Planet,7.5,98.0,1956,55261,414457.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ford v Ferrari,1,4,Ford v Ferrari,8.1,152.0,2019,518248,4197808.8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
Foreign Correspondent,0,6,Foreign Correspondent,7.4,120.0,1940,24887,184163.80000000002,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,0,1,Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,5.6,60.0,1990,30,168.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Forever Amber,0,1,Forever Amber,6.5,138.0,1947,1839,11953.5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Forrest Gump,1,13,Forrest Gump,8.8,142.0,1994,2368167,20839869.6,1,0,1,1,0,0,2,0,1,0,1,0,1,0,1,1,2,1,1,0,1,1,0
Fortress of Peace,0,1,Fortress of Peace,6.7,23.0,1965,45,301.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Forty Boys and a Song,0,1,Forty Boys and a Song,5.3,10.0,1941,183,969.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Foul Play,0,1,Foul Play,6.8,116.0,1978,17878,121570.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Four Daughters,0,10,Four Daughters,6.9,90.0,1938,2335,16111.5,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0
Four Days in November,0,1,Four Days in November,7.5,122.0,1964,676,5070.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Four Days in September,0,1,Four Days in September,7.4,110.0,1997,5971,44185.4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Four Good Days,0,1,Four Good Days,6.6,100.0,2020,14829,97871.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
